Cluster,Penetration,Monkey Name,Effect Size,Layers,Baseline Classification,Evoked Classification,Baseline p-value,Evoked p-value,Baseline High Firing Rate,Baseline Low Firing Rate,Evoked High Firing Rate,Evoked Low Firing Rate
23,4/17/2024,Sansa,1.2626262626262625,,up,up,0.002371064,0.008901571,1.3461538461538463,0.6282051282051282,17.628205128205128,13.961538461538462
35,4/17/2024,Sansa,1.1883974727168294,,no effect,no effect,0.30192234332804074,0.054365733999526024,1.1923076923076923,0.8589743589743589,26.525641025641026,22.32051282051282
43,4/17/2024,Sansa,1.1203830369357044,,no effect,no effect,0.48004089386775617,0.26684699967810704,0.6410256410256411,0.48717948717948717,10.5,9.371794871794872
85,4/17/2024,Sansa,1.127071823,,no effect,no effect,0.12462250537314412,0.36831513,1.3846153846153846,1.8461538461538463,2.6153846153846154,2.3205128205128207
101,4/17/2024,Sansa,1.0068337129840546,,no effect,no effect,0.14917484976637838,0.9404279347205229,4.217948717948718,4.897435897435898,5.666666666666667,5.628205128205129
107,4/17/2024,Sansa,1.097972972972973,,no effect,no effect,0.38184536638825006,0.38069045172041094,2.1794871794871793,2.4743589743589745,4.166666666666667,3.7948717948717947
108,4/17/2024,Sansa,1.2132701421800947,,no effect,no effect,0.8100096037258605,0.30459432,1.4487179487179487,1.5256410256410255,3.282051282051282,2.7051282051282053
109,4/17/2024,Sansa,1.0268656716417912,,no effect,no effect,0.3317126297124864,0.8031994243821918,2.0641025641025643,2.4743589743589745,4.410256410256411,4.294871794871795
114,4/17/2024,Sansa,1.1493212669683257,,no effect,no effect,0.9628829773097278,0.22866742933996081,1.7564102564102564,1.7692307692307692,3.2564102564102564,2.8333333333333335
117,4/17/2024,Sansa,1.1703958691910499,,no effect,up,0.5169202749759878,0.043954727428288355,1.5897435897435896,1.3461538461538463,8.717948717948717,7.448717948717949
130,4/17/2024,Sansa,0.9917695473251029,,no effect,no effect,0.22318641635098996,0.9125263492804637,2.8461538461538463,2.3461538461538463,9.269230769,9.346153846153847
137,4/17/2024,Sansa,0.9078498293515358,,no effect,no effect,0.7543000706544225,0.35130371265315297,1.6794871794871795,1.5897435897435896,3.41025641,3.7564102564102564
138,4/17/2024,Sansa,1.2113564668769718,,up,up,0.019735621911693497,0.035814697,2.2051282051282053,1.4615384615384615,4.923076923076923,4.064102564102564
143,4/17/2024,Sansa,1.0526315789473686,,up,no effect,0.012937093792009219,0.532388971,1.9230769230769231,1.1538461538461537,6.410256410256411,6.089743589743589
146,4/17/2024,Sansa,1.1877394636015326,,no effect,no effect,0.4905966766865948,0.18745958540634589,2.871794871794872,3.1666666666666665,3.9743589743589745,3.3461538461538463
148,4/17/2024,Sansa,1.0335570469798658,,no effect,no effect,0.22001440648603432,0.8191188063884037,1.294871794871795,1.064102564102564,1.9743589743589745,1.9102564102564104
153,4/17/2024,Sansa,1.604316547,,up,up,0.00033999,1.6356477046114823e-06,1.6538461538461537,0.9871794871794872,5.717948717948718,3.5641025641025643
164,4/17/2024,Sansa,0.6980676328502416,,no effect,no effect,0.22174271227989292,0.058636415,5.512820512820513,6.4743589743589745,3.7051282051282053,5.3076923076923075
165,4/17/2024,Sansa,1.0380952380952382,,no effect,no effect,0.8114426041031264,0.6977579872399091,1.7435897435897436,1.6666666666666667,4.1923076923076925,4.038461538461538
166,4/17/2024,Sansa,1.2490118577075098,,no effect,up,0.20481702485068579,0.016662272987985817,3.448717948717949,3.051282051282051,4.051282051282051,3.2435897435897436
167,4/17/2024,Sansa,0.8648648648648649,,no effect,no effect,0.4460778083536716,0.15467317584623655,8.884615384615385,8.602564102564102,6.9743589743589745,8.064102564102564
168,4/17/2024,Sansa,1,,no effect,no effect,0.37879372792714106,1,3.6923076923076925,4.217948717948718,5.012820512820513,5.012820512820513
169,4/17/2024,Sansa,0.9499999999999998,,no effect,no effect,0.17927899723776639,0.6111789457410391,2.3205128205128207,2.641025641025641,2.4358974358974357,2.5641025641025643
176,4/17/2024,Sansa,1.0656565656565657,,no effect,no effect,0.594239568,0.3623220307040639,7.576923076923077,7.333333333333333,10.820512820512821,10.153846153846153
179,4/17/2024,Sansa,0.9137931034482758,,down,no effect,0.007392303,0.4706836840802735,1.564102564102564,2.2051282051282053,2.0384615384615383,2.230769230769231
182,4/17/2024,Sansa,1.3986928104575165,,no effect,up,0.8125488297251877,0.014415678073493803,1.3461538461538463,1.294871794871795,2.7435897435897436,1.9615384615384615
184,4/17/2024,Sansa,0.9770114942528735,,down,no effect,0.000347314,0.8470883402825916,1.6282051282051282,2.576923076923077,2.1794871794871793,2.230769230769231
186,4/17/2024,Sansa,1.0326086956521738,,no effect,no effect,0.21442464689529306,0.7875592396954507,3.5,4.102564102564102,4.871794871794871,4.717948717948718
189,4/17/2024,Sansa,1.0214285714285714,,no effect,no effect,0.7979302913671801,0.8057684983390494,4.435897435897436,4.333333333333333,5.5,5.384615384615385
196,4/17/2024,Sansa,1.054726368159204,,no effect,no effect,0.14490538301293882,0.552975397,4.410256410256411,5.064102564102564,5.435897435897436,5.153846153846154
213,4/17/2024,Sansa,1.0875912408759125,,no effect,no effect,0.066974388,0.3688673155901375,4.435897435897436,5.435897435897436,7.641025641025641,7.0256410256410255
231,4/17/2024,Sansa,1.0550161812297736,,no effect,no effect,0.9479160437909688,0.6381100724290615,3.448717948717949,3.423076923076923,4.179487179,3.9615384615384617
232,4/17/2024,Sansa,1.2042553191489362,,no effect,no effect,0.1443397060058077,0.12634820575100808,2.8461538461538463,3.282051282051282,3.628205128205128,3.0128205128205128
234,4/17/2024,Sansa,1.2285714285714286,,up,no effect,0.047833051,0.051063012641183556,3.5641025641025643,2.8333333333333335,4.410256410256411,3.58974359
235,4/17/2024,Sansa,1.0327868852459017,,no effect,no effect,0.5425807464058264,0.7910129370161996,4.051282051282051,3.7564102564102564,3.230769230769231,3.128205128205128
240,4/17/2024,Sansa,1.2439024390243902,,no effect,no effect,0.9520321792985551,0.12044933703285014,0.9230769230769231,0.9102564102564102,2.6153846153846154,2.1025641025641026
245,4/17/2024,Sansa,1.412828947368421,,no effect,up,0.16577004610385404,0.002445212,3.628205128205128,2.948717948717949,11.012820512820513,7.794871794871795
250,4/17/2024,Sansa,1.343065693430657,,no effect,no effect,0.7237944650339763,0.077727592,1.3461538461538463,1.2435897435897436,4.717948717948718,3.5128205128205128
286,4/17/2024,Sansa,1.4726368159203977,,no effect,up,0.35384794190760127,0.006501171,1.1538461538461537,0.8076923076923077,7.589743589743589,5.153846153846154
290,4/17/2024,Sansa,1.2325581395348837,,no effect,no effect,0.7262238177988716,0.12760121045615286,1.3461538461538463,1.4102564102564104,2.0384615384615383,1.6538461538461537
309,4/17/2024,Sansa,1.3125,,no effect,no effect,0.15515294819237332,0.15466619802801213,0.9230769230769231,0.7051282051282052,0.8076923076923077,0.6153846153846154
,,,,,,,,,,,,
